Company,Location,TexEmployeesEstimate,isCorpHQ,isFort500,Fort500Rank,isGlobal500,Glob500Rank,isRelocate,RelocateYear,RelocateFrom,Website,TwitterHandle,Source
Guardian Bikes,Austin,6,Y,,,,,Y,2020,Irvine,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Alpha Paw LLC,Austin,5,Y,,,,,Y,2021,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Harmonate,Austin,4,Y,,,,,Y,2021,San Jose,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Keen Horse Training,Burleson,2,Y,,,,,Y,2020,Arcadia,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
OKIN BPS,San Antonio,2,Y,,,,,Y,2018,Mountain View,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
AEND Industries,Hutto,,Y,,,,,Y,2018,Huntington Beach,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
AHV Communities,San Antonio,,Y,,,,,Y,2021,Costa Mesa,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Airbrake Technologies,Austin,,Y,,,,,Y,2020,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Amazing Magnets,Round Rock,,Y,,,,,Y,2021,Anaheim,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Aviat Networks Inc.,Austin,,Y,,,,,Y,2019,Milpitas,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Axiom Memory Solutions Inc.,Austin,,Y,,,,,Y,2020,Orange &gt; Irvine,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Cicero Institute,Austin,,Y,,,,,Y,2020,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Digital Realty Trust,Austin,,Y,,,,,Y,2021,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Directive,Austin,,Y,,,,,Y,2019,Irvine,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Finical Inc.,Dallas,,Y,,,,,Y,2020,Los Angeles,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
First Foundation,Dallas,,Y,,,,,Y,2021,Irvine,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Gilad and Gilad,Georgetown,,Y,,,,,Y,2021,Los Angeles,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
iHeartMedia,San Antonio,,Y,,,,,,,,https://investors.iheartmedia.com/home/default.aspx,iHeartMedia,https://www.concordia.edu/blog/top-25-fortune-500-companies-headquartered-in-texas.html
Maddox Defense,Houston,,Y,,,,,Y,2020,San Diego,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
MedeAnalytics,Richardson,,Y,,,,,Y,2018,Emeryville,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Musk Foundation,Austin,,Y,,,,,Y,2020,Menlo Park,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Nissei America,San Antonio,,Y,,,,,Y,2021,Anaheim,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
NuZee,Plano,,Y,,,,,Y,2019,Vista,https://www.nisseiamerica.com/contact.html,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
O.W. Lee,Comfort,,Y,,,,,Y,2020,Ontario,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
OriginClear Inc.,McKinney,,Y,,,,,Y,2020,Los Angeles,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Regroup Mass Notification,Dallas,,Y,,,,,Y,2020,San Francisco,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Resonant,Austin,,Y,,,,,Y,2020,Santa Barbara,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
RiceBran Technologies,Houston,,Y,,,,,Y,2018,Sacramento,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Slice of Sauce,Austin,,Y,,,,,Y,2019,Los Angeles,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
SmartDraw Software,Houston,,Y,,,,,Y,2020,San Diego,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Sonim Technologies Inc.,Austin,,Y,,,,,Y,2020,San Mateo,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Space Channel Inc.,Brownsville,,Y,,,,,Y,2021,Los Angeles,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Tailift Material Handling USA,Houston,,Y,,,,,Y,2021,Ontario,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
TaskUs,New Braunfels,,Y,,,,,Y,2020,Santa Monica,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Tech21,Austin,,Y,,,,,Y,2018,San Jose,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Vio Security,Irving,,Y,,,,,Y,2020,Woodland Hills,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
ZP,Austin,,Y,,,,,Y,2021,Rockland,,,https://www.dallasnews.com/business/banking/2021/07/05/texas-is-still-a-big-draw-for-california-companies-moving-headquarters/
Southwest Airlines,Dallas,10000,Y,Y,336,,,,,,https://mobile.southwest.com/contact-us,SouthwestAir,https://www.bizjournals.com/dallas/news/2016/08/18/american-southwest-airlines-employee-counts.html
General Motors,Arlington,13000,,Y,22,Y,49,,,,https://www.gm.com/contact-us.html,GM,
Fidelity Investments,Dallas,6000,,,,,,,,,https://www.fidelity.com/customer-service/contact-us,Fidelity,https://riabiz.com/a/2021/3/6/schwab-and-fidelity-join-other-fortune-500-size-companies-sticking-with-cdc-guidelines-and-declining-the-texas-roll-back-of-covid-19-restrictions
Albertsons,Various,25000,,,52,Y,133,,,,https://www.albertsons.com/contactus/contact-us-form/commentsAndQuestions/,Albertsons,Back of envelope assuming 120 employees per store
Michaels,Irving,3700,Y,,506,,,,,,https://www.michaels.com/diversity,MichaelsStores,Back of envelope assuming 40 employees per store
Jacobs Engineering Group,Dallas,,Y,Y,225,,,,,,https://www.jacobs.com/about,JacobsConnects,
Kinder Morgan,Houston,,Y,Y,262,,,,,,https://www.kindermorgan.com/Contact-Us/Contact-Us,Kinder_Morgan,
Vistra,Dallas,,Y,Y,274,,,,,,https://investor.vistracorp.com/contact,,
Quanta Services,Houston,,Y,Y,278,,,,,,https://www.quantaservices.com/,Quanta_Services,
HollyFrontier,Dallas,,Y,Y,279,,,,,,https://hollyfrontier.com/about-us/corporate-profile/default.aspx,,
EOG Resources,Houston,,Y,Y,285,,,,,,https://www.eogresources.com/company,,
Group 1 Automotive,Houston,,Y,Y,286,,,,,,https://www.group1corp.com/company-profile,Group1Auto,
Cheniere Energy,Houston,,Y,Y,328,,,,,,https://www.cheniere.com/about,Cheniere,
Builders FirstSource,Dallas,,Y,Y,350,,,,,,https://www.bldr.com/about-us,BldrFirstSource,
Yum China Holdings,Plano,,Y,Y,363,,,,,,https://ir.yumchina.com/about-yum-china,,
Targa Resources,Houston,,Y,Y,364,,,,,,https://www.targaresources.com/about-us,,
Westlake Chemical,Houston,,Y,Y,388,,,,,,https://www.westlake.com/contact-us,WestlakeChem,
Pioneer Natural Resources,Irving,,Y,Y,428,,,,,,https://www.pxd.com/,PXDtweets,
NOV,Houston,,Y,Y,457,,,,,,https://www.nov.com/about,NOVGlobal,
Home Depot,Various,30000,,,,,,,,,https://corporate.homedepot.com/about,homedepot,"Back of envelope assuming 175 employees per store, plus distribution centers"
7-Eleven,Dallas,7000,Y,,,,,,,,https://corp.7-eleven.com/corp/about,7eleven,Back of envelope assuming 5 employees per store plus a small HQ
